      0.0000      0.0000    2.8695    5.7356    2.8655    5.7276    2.8630    5.7237    2.8613    5.7212    2.8605    5.7203    2.8603    5.7204    2.8608    5.7220    2.8614    5.7223    2.8610    5.7212    2.8608    5.7212    2.8607    5.7206    2.8604    5.7204    2.8604    5.7203    2.8605    5.7209    2.8608    5.7221
      0.0000      0.0000    2.8696    5.7364    2.8657    5.7278    2.8628    5.7235    2.8612    5.7217    2.8608    5.7215    2.8608    5.7214    2.8610    5.7224    2.8615    5.7229    2.8613    5.7220    2.8609    5.7215    2.8607    5.7211    2.8606    5.7210    2.8605    5.7208    2.8607    5.7215    2.8610    5.7221
      0.0000      0.0000    2.8702    5.7373    2.8662    5.7286    2.8631    5.7243    2.8618    5.7233    2.8619    5.7238    2.8621    5.7239    2.8621    5.7241    2.8622    5.7242    2.8621    5.7237    2.8619    5.7234    2.8617    5.7230    2.8616    5.7230    2.8615    5.7226    2.8613    5.7223    2.8613    5.7222
      0.0000      0.0000    2.8693    5.7360    2.8660    5.7291    2.8637    5.7256    2.8624    5.7237    2.8618    5.7231    2.8616    5.7232    2.8619    5.7239    2.8622    5.7239    2.8619    5.7233    2.8617    5.7231    2.8616    5.7226    2.8613    5.7224    2.8614    5.7226    2.8614    5.7225    2.8614    5.7226
      0.0000      0.0000    2.8694    5.7357    2.8655    5.7277    2.8630    5.7239    2.8614    5.7216    2.8606    5.7207    2.8604    5.7207    2.8607    5.7219    2.8613    5.7223    2.8610    5.7214    2.8607    5.7209    2.8605    5.7206    2.8605    5.7209    2.8605    5.7207    2.8605    5.7209    2.8607    5.7215
      0.0000      0.0000    2.8690    5.7354    2.8656    5.7281    2.8630    5.7235    2.8612    5.7215    2.8608    5.7212    2.8606    5.7211    2.8610    5.7224    2.8615    5.7223    2.8609    5.7210    2.8606    5.7210    2.8605    5.7206    2.8605    5.7210    2.8607    5.7210    2.8606    5.7209    2.8607    5.7215
      0.0000      0.0000    2.8695    5.7359    2.8659    5.7289    2.8637    5.7250    2.8618    5.7224    2.8611    5.7216    2.8608    5.7214    2.8612    5.7231    2.8620    5.7235    2.8615    5.7221    2.8611    5.7219    2.8609    5.7210    2.8605    5.7208    2.8606    5.7211    2.8609    5.7217    2.8611    5.7221
      0.0000      0.0000    2.8693    5.7353    2.8655    5.7281    2.8633    5.7243    2.8615    5.7218    2.8609    5.7212    2.8607    5.7215    2.8613    5.7232    2.8619    5.7230    2.8613    5.7219    2.8611    5.7217    2.8607    5.7204    2.8604    5.7209    2.8607    5.7208    2.8606    5.7211    2.8609    5.7221
      0.0000      0.0000    2.8692    5.7355    2.8656    5.7285    2.8634    5.7243    2.8615    5.7219    2.8609    5.7214    2.8608    5.7216    2.8612    5.7230    2.8618    5.7231    2.8613    5.7216    2.8609    5.7217    2.8610    5.7213    2.8606    5.7209    2.8606    5.7209    2.8607    5.7213    2.8608    5.7217
      0.0000      0.0000    2.8692    5.7355    2.8657    5.7285    2.8635    5.7247    2.8617    5.7223    2.8612    5.7218    2.8610    5.7219    2.8614    5.7232    2.8619    5.7234    2.8614    5.7219    2.8610    5.7218    2.8610    5.7216    2.8609    5.7214    2.8606    5.7205    2.8604    5.7210    2.8610    5.7223
      0.0000      0.0000    2.8692    5.7359    2.8658    5.7283    2.8630    5.7238    2.8612    5.7212    2.8604    5.7206    2.8605    5.7212    2.8610    5.7222    2.8614    5.7226    2.8613    5.7219    2.8608    5.7210    2.8604    5.7207    2.8605    5.7207    2.8603    5.7204    2.8603    5.7207    2.8607    5.7219
      0.0000      0.0000    2.8697    5.7360    2.8655    5.7275    2.8629    5.7235    2.8612    5.7212    2.8606    5.7209    2.8607    5.7212    2.8609    5.7218    2.8612    5.7220    2.8611    5.7216    2.8608    5.7210    2.8604    5.7203    2.8605    5.7210    2.8606    5.7206    2.8605    5.7207    2.8605    5.7211
      0.0000      0.0000    2.8701    5.7368    2.8659    5.7284    2.8634    5.7251    2.8621    5.7231    2.8614    5.7226    2.8615    5.7231    2.8620    5.7242    2.8624    5.7244    2.8620    5.7233    2.8616    5.7229    2.8615    5.7224    2.8612    5.7220    2.8610    5.7217    2.8610    5.7219    2.8612    5.7226
      0.0000      0.0000    2.8695    5.7360    2.8658    5.7283    2.8631    5.7243    2.8616    5.7224    2.8611    5.7219    2.8610    5.7219    2.8611    5.7224    2.8613    5.7224    2.8612    5.7220    2.8611    5.7220    2.8610    5.7217    2.8609    5.7216    2.8609    5.7215    2.8609    5.7217    2.8610    5.7221
      0.0000      0.0000    2.8693    5.7355    2.8655    5.7279    2.8630    5.7237    2.8612    5.7213    2.8606    5.7208    2.8605    5.7209    2.8608    5.7218    2.8611    5.7218    2.8608    5.7211    2.8607    5.7211    2.8605    5.7202    2.8602    5.7204    2.8604    5.7205    2.8604    5.7208    2.8607    5.7219
      0.0000      0.0000    2.8695    5.7361    2.8657    5.7282    2.8631    5.7242    2.8616    5.7224    2.8613    5.7221    2.8610    5.7216    2.8611    5.7225    2.8615    5.7227    2.8612    5.7219    2.8610    5.7217    2.8609    5.7215    2.8609    5.7218    2.8610    5.7216    2.8609    5.7215    2.8608    5.7216
      0.0000      0.0000    2.8696    5.7358    2.8656    5.7284    2.8635    5.7245    2.8614    5.7213    2.8605    5.7207    2.8606    5.7213    2.8611    5.7227    2.8617    5.7229    2.8613    5.7220    2.8611    5.7215    2.8605    5.7201    2.8602    5.7206    2.8605    5.7207    2.8606    5.7212    2.8609    5.7219
      0.0000      0.0000    2.8695    5.7357    2.8656    5.7281    2.8630    5.7235    2.8610    5.7213    2.8607    5.7211    2.8606    5.7210    2.8609    5.7225    2.8616    5.7226    2.8610    5.7212    2.8607    5.7212    2.8605    5.7201    2.8601    5.7201    2.8603    5.7204    2.8604    5.7208    2.8607    5.7219
      0.0000      0.0000    2.8698    5.7361    2.8656    5.7277    2.8629    5.7233    2.8611    5.7216    2.8609    5.7214    2.8607    5.7211    2.8610    5.7227    2.8617    5.7228    2.8612    5.7216    2.8609    5.7214    2.8605    5.7201    2.8601    5.7202    2.8603    5.7203    2.8606    5.7212    2.8609    5.7220
      0.0000      0.0000    2.8696    5.7359    2.8655    5.7277    2.8627    5.7229    2.8608    5.7209    2.8606    5.7207    2.8604    5.7207    2.8610    5.7229    2.8619    5.7231    2.8612    5.7211    2.8606    5.7208    2.8603    5.7199    2.8601    5.7203    2.8604    5.7204    2.8605    5.7211    2.8609    5.7219
      0.0000      0.0000    2.8689    5.7352    2.8657    5.7288    2.8635    5.7241    2.8613    5.7214    2.8607    5.7207    2.8604    5.7208    2.8610    5.7228    2.8619    5.7232    2.8613    5.7216    2.8609    5.7215    2.8608    5.7207    2.8604    5.7205    2.8603    5.7200    2.8604    5.7209    2.8609    5.7221
      0.0000      0.0000    2.8693    5.7357    2.8657    5.7282    2.8632    5.7243    2.8617    5.7225    2.8612    5.7218    2.8608    5.7213    2.8610    5.7226    2.8618    5.7232    2.8615    5.7221    2.8610    5.7216    2.8609    5.7212    2.8608    5.7213    2.8608    5.7214    2.8610    5.7215    2.8608    5.7216
      0.0000      0.0000    2.8697    5.7361    2.8656    5.7275    2.8625    5.7229    2.8608    5.7208    2.8605    5.7209    2.8606    5.7212    2.8608    5.7219    2.8611    5.7221    2.8610    5.7215    2.8607    5.7209    2.8604    5.7205    2.8605    5.7209    2.8604    5.7204    2.8603    5.7208    2.8606    5.7214
      0.0000      0.0000    2.8692    5.7356    2.8657    5.7285    2.8632    5.7244    2.8615    5.7218    2.8608    5.7213    2.8608    5.7216    2.8611    5.7222    2.8613    5.7225    2.8613    5.7221    2.8611    5.7217    2.8608    5.7212    2.8605    5.7208    2.8605    5.7210    2.8608    5.7215    2.8609    5.7217
      0.0000      0.0000    2.8696    5.7359    2.8659    5.7285    2.8631    5.7234    2.8610    5.7212    2.8609    5.7216    2.8612    5.7223    2.8615    5.7229    2.8615    5.7221    2.8610    5.7215    2.8611    5.7220    2.8611    5.7215    2.8609    5.7216    2.8610    5.7213    2.8608    5.7213    2.8611    5.7225
      0.0000      0.0000    2.8691    5.7357    2.8657    5.7280    2.8630    5.7236    2.8612    5.7213    2.8606    5.7211    2.8608    5.7215    2.8611    5.7221    2.8612    5.7218    2.8609    5.7212    2.8607    5.7210    2.8605    5.7205    2.8605    5.7208    2.8605    5.7205    2.8605    5.7209    2.8608    5.7218
      0.0000      0.0000    2.8692    5.7360    2.8660    5.7287    2.8632    5.7238    2.8612    5.7215    2.8608    5.7214    2.8608    5.7216    2.8612    5.7228    2.8617    5.7230    2.8613    5.7219    2.8611    5.7218    2.8608    5.7210    2.8605    5.7208    2.8606    5.7211    2.8608    5.7213    2.8608    5.7217
      0.0000      0.0000    2.8697    5.7359    2.8657    5.7282    2.8630    5.7235    2.8610    5.7212    2.8607    5.7212    2.8606    5.7209    2.8607    5.7219    2.8614    5.7226    2.8612    5.7215    2.8608    5.7212    2.8606    5.7206    2.8603    5.7205    2.8603    5.7203    2.8604    5.7207    2.8606    5.7217
      0.0000      0.0000    2.8696    5.7357    2.8655    5.7282    2.8632    5.7235    2.8609    5.7209    2.8606    5.7209    2.8605    5.7208    2.8608    5.7224    2.8616    5.7227    2.8612    5.7216    2.8608    5.7212    2.8603    5.7198    2.8601    5.7204    2.8604    5.7203    2.8605    5.7212    2.8609    5.7220
      0.0000      0.0000    2.8692    5.7355    2.8659    5.7288    2.8633    5.7237    2.8614    5.7223    2.8614    5.7222    2.8610    5.7215    2.8612    5.7233    2.8623    5.7241    2.8618    5.7224    2.8613    5.7222    2.8610    5.7207    2.8603    5.7209    2.8609    5.7212    2.8608    5.7216    2.8612    5.7221
      0.0000      0.0000    2.8697    5.7358    2.8659    5.7289    2.8635    5.7242    2.8616    5.7225    2.8615    5.7224    2.8611    5.7216    2.8612    5.7232    2.8621    5.7237    2.8615    5.7217    2.8609    5.7217    2.8610    5.7212    2.8607    5.7211    2.8608    5.7214    2.8611    5.7218    2.8609    5.7217
      0.0000      0.0000    2.8697    5.7357    2.8653    5.7275    2.8628    5.7236    2.8612    5.7213    2.8606    5.7207    2.8605    5.7209    2.8609    5.7224    2.8616    5.7228    2.8612    5.7216    2.8607    5.7208    2.8603    5.7202    2.8603    5.7206    2.8603    5.7203    2.8605    5.7213    2.8609    5.7220
      0.0000      0.0000    2.8697    5.7359    2.8656    5.7282    2.8631    5.7238    2.8611    5.7211    2.8604    5.7204    2.8603    5.7207    2.8608    5.7224    2.8616    5.7229    2.8612    5.7215    2.8607    5.7211    2.8605    5.7205    2.8603    5.7206    2.8604    5.7204    2.8605    5.7210    2.8607    5.7218
      0.0000      0.0000    2.8695    5.7358    2.8658    5.7287    2.8634    5.7241    2.8613    5.7215    2.8609    5.7213    2.8608    5.7213    2.8610    5.7226    2.8617    5.7230    2.8613    5.7217    2.8609    5.7214    2.8606    5.7207    2.8605    5.7211    2.8608    5.7215    2.8610    5.7215    2.8608    5.7216
      0.0000      0.0000    2.8690    5.7352    2.8656    5.7284    2.8633    5.7245    2.8616    5.7216    2.8605    5.7204    2.8603    5.7207    2.8608    5.7222    2.8615    5.7226    2.8612    5.7215    2.8607    5.7210    2.8605    5.7207    2.8605    5.7209    2.8606    5.7208    2.8605    5.7208    2.8607    5.7215
      0.0000      0.0000    2.8695    5.7357    2.8657    5.7283    2.8633    5.7244    2.8616    5.7219    2.8610    5.7215    2.8610    5.7215    2.8610    5.7220    2.8612    5.7220    2.8611    5.7217    2.8610    5.7215    2.8608    5.7212    2.8608    5.7213    2.8607    5.7208    2.8607    5.7212    2.8609    5.7217
      0.0000      0.0000    2.8702    5.7371    2.8662    5.7293    2.8636    5.7250    2.8619    5.7228    2.8615    5.7230    2.8618    5.7237    2.8622    5.7243    2.8622    5.7237    2.8617    5.7231    2.8618    5.7234    2.8617    5.7230    2.8615    5.7228    2.8615    5.7225    2.8613    5.7224    2.8613    5.7225
      0.0000      0.0000    2.8697    5.7363    2.8656    5.7275    2.8626    5.7231    2.8611    5.7213    2.8606    5.7208    2.8605    5.7209    2.8607    5.7217    2.8610    5.7215    2.8606    5.7209    2.8605    5.7210    2.8605    5.7208    2.8606    5.7210    2.8605    5.7207    2.8605    5.7209    2.8607    5.7216
      0.0000      0.0000    2.8698    5.7359    2.8657    5.7285    2.8635    5.7244    2.8614    5.7213    2.8606    5.7211    2.8608    5.7216    2.8612    5.7229    2.8618    5.7231    2.8614    5.7219    2.8610    5.7217    2.8609    5.7211    2.8606    5.7209    2.8605    5.7205    2.8606    5.7210    2.8608    5.7220
      0.0000      0.0000    2.8694    5.7356    2.8654    5.7278    2.8630    5.7237    2.8612    5.7212    2.8606    5.7209    2.8606    5.7212    2.8611    5.7228    2.8617    5.7226    2.8610    5.7212    2.8608    5.7214    2.8607    5.7206    2.8603    5.7206    2.8605    5.7207    2.8605    5.7209    2.8607    5.7218
      0.0000      0.0000    2.8692    5.7350    2.8654    5.7285    2.8636    5.7247    2.8617    5.7222    2.8611    5.7216    2.8609    5.7216    2.8613    5.7232    2.8622    5.7239    2.8618    5.7223    2.8612    5.7219    2.8609    5.7210    2.8606    5.7210    2.8608    5.7213    2.8610    5.7218    2.8610    5.7219
      0.0000      0.0000    2.8694    5.7360    2.8659    5.7285    2.8630    5.7236    2.8611    5.7212    2.8606    5.7211    2.8609    5.7218    2.8612    5.7224    2.8613    5.7220    2.8608    5.7212    2.8608    5.7214    2.8607    5.7207    2.8603    5.7205    2.8605    5.7207    2.8605    5.7208    2.8606    5.7215
      0.0000      0.0000    2.8689    5.7353    2.8658    5.7295    2.8641    5.7256    2.8619    5.7220    2.8607    5.7212    2.8608    5.7222    2.8619    5.7249    2.8630    5.7253    2.8621    5.7226    2.8611    5.7218    2.8609    5.7212    2.8607    5.7214    2.8608    5.7213    2.8609    5.7220    2.8611    5.7224
      0.0000      0.0000    2.8692    5.7351    2.8658    5.7290    2.8633    5.7233    2.8606    5.7204    2.8605    5.7207    2.8603    5.7203    2.8606    5.7223    2.8619    5.7238    2.8617    5.7218    2.8608    5.7209    2.8603    5.7198    2.8600    5.7202    2.8604    5.7206    2.8605    5.7212    2.8610    5.7222
      0.0000      0.0000    2.8694    5.7356    2.8658    5.7290    2.8636    5.7244    2.8615    5.7221    2.8611    5.7216    2.8608    5.7214    2.8615    5.7240    2.8625    5.7242    2.8615    5.7219    2.8611    5.7222    2.8612    5.7213    2.8606    5.7209    2.8606    5.7210    2.8608    5.7215    2.8610    5.7221
      0.0000      0.0000    2.8698    5.7363    2.8657    5.7277    2.8627    5.7236    2.8615    5.7223    2.8611    5.7212    2.8604    5.7205    2.8607    5.7225    2.8618    5.7231    2.8612    5.7212    2.8605    5.7209    2.8605    5.7207    2.8605    5.7210    2.8605    5.7207    2.8606    5.7211    2.8607    5.7214
      0.0000      0.0000    2.8695    5.7356    2.8656    5.7280    2.8631    5.7240    2.8614    5.7217    2.8609    5.7217    2.8611    5.7218    2.8612    5.7225    2.8616    5.7228    2.8614    5.7221    2.8611    5.7213    2.8605    5.7206    2.8606    5.7214    2.8608    5.7212    2.8608    5.7211    2.8608    5.7215
      0.0000      0.0000    2.8692    5.7351    2.8654    5.7279    2.8631    5.7241    2.8614    5.7215    2.8606    5.7207    2.8605    5.7209    2.8607    5.7214    2.8609    5.7215    2.8609    5.7214    2.8608    5.7211    2.8604    5.7203    2.8604    5.7208    2.8606    5.7207    2.8605    5.7207    2.8605    5.7213
      0.0000      0.0000    2.8693    5.7361    2.8658    5.7286    2.8633    5.7250    2.8621    5.7236    2.8618    5.7234    2.8617    5.7233    2.8619    5.7239    2.8620    5.7237    2.8616    5.7229    2.8614    5.7227    2.8614    5.7226    2.8614    5.7224    2.8611    5.7219    2.8612    5.7223    2.8612    5.7221
      0.0000      0.0000    2.8700    5.7372    2.8665    5.7298    2.8637    5.7247    2.8615    5.7219    2.8612    5.7229    2.8620    5.7243    2.8624    5.7245    2.8622    5.7238    2.8620    5.7236    2.8620    5.7235    2.8616    5.7226    2.8614    5.7225    2.8614    5.7224    2.8613    5.7225    2.8614    5.7230
      0.0000      0.0000    2.8697    5.7364    2.8658    5.7279    2.8628    5.7233    2.8611    5.7209    2.8604    5.7203    2.8603    5.7208    2.8609    5.7223    2.8615    5.7223    2.8609    5.7209    2.8604    5.7206    2.8605    5.7206    2.8604    5.7206    2.8604    5.7206    2.8606    5.7212    2.8609    5.7219
      0.0000      0.0000    2.8696    5.7364    2.8661    5.7290    2.8634    5.7240    2.8613    5.7215    2.8608    5.7213    2.8608    5.7215    2.8612    5.7228    2.8618    5.7232    2.8615    5.7223    2.8612    5.7219    2.8609    5.7212    2.8607    5.7211    2.8607    5.7210    2.8608    5.7213    2.8610    5.7222
      0.0000      0.0000    2.8694    5.7356    2.8656    5.7283    2.8631    5.7238    2.8611    5.7212    2.8605    5.7208    2.8605    5.7209    2.8609    5.7223    2.8616    5.7228    2.8612    5.7216    2.8608    5.7212    2.8606    5.7204    2.8601    5.7201    2.8602    5.7201    2.8604    5.7209    2.8608    5.7217
      0.0000      0.0000    2.8693    5.7356    2.8659    5.7291    2.8635    5.7242    2.8613    5.7218    2.8612    5.7224    2.8613    5.7222    2.8614    5.7231    2.8620    5.7237    2.8618    5.7227    2.8614    5.7223    2.8610    5.7211    2.8606    5.7212    2.8609    5.7213    2.8608    5.7213    2.8609    5.7219
      0.0000      0.0000    2.8697    5.7361    2.8660    5.7289    2.8635    5.7242    2.8615    5.7221    2.8613    5.7222    2.8612    5.7221    2.8615    5.7237    2.8624    5.7242    2.8619    5.7227    2.8614    5.7225    2.8612    5.7216    2.8609    5.7217    2.8609    5.7210    2.8607    5.7214    2.8610    5.7222
      0.0000      0.0000    2.8690    5.7353    2.8660    5.7295    2.8637    5.7242    2.8611    5.7211    2.8606    5.7211    2.8608    5.7217    2.8614    5.7236    2.8623    5.7243    2.8619    5.7225    2.8612    5.7217    2.8608    5.7206    2.8603    5.7208    2.8607    5.7211    2.8607    5.7211    2.8608    5.7219
      0.0000      0.0000    2.8697    5.7363    2.8661    5.7289    2.8632    5.7238    2.8612    5.7221    2.8614    5.7224    2.8612    5.7218    2.8611    5.7229    2.8618    5.7233    2.8614    5.7221    2.8612    5.7220    2.8608    5.7208    2.8606    5.7214    2.8609    5.7214    2.8608    5.7213    2.8607    5.7214
      0.0000      0.0000    2.8695    5.7359    2.8658    5.7283    2.8632    5.7243    2.8619    5.7230    2.8615    5.7220    2.8608    5.7214    2.8614    5.7238    2.8626    5.7245    2.8620    5.7226    2.8614    5.7225    2.8612    5.7214    2.8607    5.7211    2.8608    5.7214    2.8611    5.7218    2.8611    5.7222
      0.0000      0.0000    2.8694    5.7358    2.8660    5.7293    2.8637    5.7244    2.8613    5.7213    2.8609    5.7218    2.8612    5.7221    2.8612    5.7229    2.8620    5.7242    2.8620    5.7227    2.8610    5.7212    2.8606    5.7210    2.8608    5.7215    2.8609    5.7213    2.8609    5.7217    2.8611    5.7221
      0.0000      0.0000    2.8695    5.7356    2.8656    5.7282    2.8630    5.7233    2.8610    5.7213    2.8609    5.7215    2.8608    5.7212    2.8609    5.7222    2.8614    5.7222    2.8608    5.7207    2.8605    5.7208    2.8606    5.7206    2.8605    5.7211    2.8607    5.7208    2.8605    5.7206    2.8604    5.7211
      0.0000      0.0000    2.8690    5.7351    2.8653    5.7283    2.8636    5.7255    2.8620    5.7226    2.8611    5.7217    2.8609    5.7217    2.8611    5.7226    2.8615    5.7229    2.8614    5.7222    2.8611    5.7217    2.8607    5.7213    2.8609    5.7219    2.8610    5.7215    2.8608    5.7213    2.8607    5.7215
      0.0000      0.0000    2.8686    5.7346    2.8655    5.7283    2.8633    5.7243    2.8614    5.7217    2.8607    5.7209    2.8605    5.7208    2.8607    5.7215    2.8609    5.7217    2.8608    5.7214    2.8608    5.7213    2.8607    5.7209    2.8605    5.7207    2.8604    5.7205    2.8604    5.7207    2.8606    5.7216
      0.0000      0.0000    2.8695    5.7358    2.8658    5.7289    2.8638    5.7259    2.8625    5.7237    2.8617    5.7230    2.8616    5.7230    2.8618    5.7236    2.8621    5.7239    2.8622    5.7239    2.8621    5.7234    2.8615    5.7223    2.8611    5.7219    2.8611    5.7220    2.8613    5.7222    2.8612    5.7224
      0.0000      0.0000    2.8698    5.7366    2.8660    5.7282    2.8627    5.7230    2.8609    5.7210    2.8606    5.7210    2.8607    5.7217    2.8613    5.7231    2.8618    5.7230    2.8613    5.7218    2.8609    5.7213    2.8606    5.7208    2.8605    5.7207    2.8605    5.7208    2.8607    5.7214    2.8611    5.7225
      0.0000      0.0000    2.8699    5.7366    2.8658    5.7282    2.8630    5.7234    2.8610    5.7206    2.8602    5.7203    2.8604    5.7211    2.8611    5.7229    2.8617    5.7230    2.8611    5.7214    2.8607    5.7211    2.8606    5.7208    2.8605    5.7207    2.8603    5.7203    2.8604    5.7208    2.8607    5.7219
      0.0000      0.0000    2.8700    5.7360    2.8655    5.7281    2.8632    5.7239    2.8612    5.7210    2.8605    5.7207    2.8605    5.7210    2.8609    5.7224    2.8617    5.7232    2.8615    5.7221    2.8610    5.7213    2.8606    5.7205    2.8604    5.7205    2.8604    5.7203    2.8606    5.7211    2.8608    5.7219
      0.0000      0.0000    2.8695    5.7355    2.8655    5.7280    2.8630    5.7235    2.8611    5.7212    2.8607    5.7211    2.8606    5.7209    2.8608    5.7219    2.8614    5.7226    2.8612    5.7217    2.8608    5.7211    2.8605    5.7203    2.8603    5.7205    2.8605    5.7209    2.8608    5.7212    2.8608    5.7219
      0.0000      0.0000    2.8692    5.7352    2.8655    5.7287    2.8636    5.7244    2.8612    5.7210    2.8603    5.7203    2.8603    5.7208    2.8609    5.7225    2.8617    5.7232    2.8614    5.7218    2.8609    5.7213    2.8605    5.7201    2.8601    5.7204    2.8603    5.7203    2.8604    5.7209    2.8607    5.7218
      0.0000      0.0000    2.8688    5.7352    2.8660    5.7293    2.8634    5.7238    2.8610    5.7214    2.8609    5.7215    2.8607    5.7213    2.8611    5.7234    2.8624    5.7244    2.8618    5.7223    2.8611    5.7220    2.8608    5.7205    2.8603    5.7210    2.8610    5.7215    2.8608    5.7213    2.8608    5.7216
      0.0000      0.0000    2.8696    5.7364    2.8663    5.7290    2.8630    5.7232    2.8608    5.7209    2.8607    5.7213    2.8608    5.7217    2.8613    5.7233    2.8622    5.7241    2.8617    5.7220    2.8610    5.7219    2.8611    5.7211    2.8602    5.7201    2.8602    5.7204    2.8605    5.7211    2.8608    5.7220
      0.0000      0.0000    2.8693    5.7356    2.8659    5.7294    2.8637    5.7246    2.8613    5.7218    2.8611    5.7219    2.8609    5.7214    2.8610    5.7228    2.8620    5.7237    2.8614    5.7215    2.8608    5.7217    2.8611    5.7217    2.8608    5.7213    2.8608    5.7214    2.8608    5.7213    2.8607    5.7213
      0.0000      0.0000    2.8692    5.7358    2.8660    5.7290    2.8633    5.7235    2.8607    5.7201    2.8600    5.7198    2.8602    5.7207    2.8609    5.7226    2.8618    5.7235    2.8615    5.7219    2.8608    5.7212    2.8605    5.7202    2.8601    5.7203    2.8603    5.7204    2.8604    5.7209    2.8607    5.7219
      0.0000      0.0000    2.8700    5.7365    2.8658    5.7282    2.8629    5.7230    2.8608    5.7209    2.8606    5.7210    2.8605    5.7207    2.8608    5.7224    2.8617    5.7229    2.8611    5.7210    2.8604    5.7207    2.8604    5.7204    2.8604    5.7209    2.8606    5.7208    2.8607    5.7213    2.8609    5.7219
      0.0000      0.0000    2.8703    5.7365    2.8657    5.7278    2.8629    5.7234    2.8611    5.7214    2.8610    5.7216    2.8610    5.7216    2.8611    5.7223    2.8614    5.7222    2.8610    5.7214    2.8609    5.7213    2.8606    5.7206    2.8606    5.7209    2.8606    5.7206    2.8607    5.7211    2.8608    5.7217
